RowNo,Month,DayofMonth,DayOfWeek,DepTime,ShDepTime,ArrTime,ShArrTime,UniqueCarrierCode,FlightNum,TailNum,ActualElapsedTime,ShElapsedTime,AirTime,ArrDelay,DepDelay,OriginCode,DestCode,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2389,8,22,5,2010,2009,2100,2054,AS,153,N762AS,50,45,41,6,1,OTZ,OME,183,4,5,0,,0,,,,,
2390,12,23,2,1703,1700,1849,1833,XE,2267,N24103,106,93,53,16,3,EWR,BUF,282,16,37,0,,0,0,0,16,0,0
2391,9,18,4,729,735,825,850,WN,707,N481WN,56,75,49,-25,-6,MSY,BHM,321,3,4,0,,0,,,,,
2392,12,29,1,1456,1458,1547,1548,OO,6620,N767SK,51,50,27,-1,-2,DEN,ASE,125,4,20,0,,0,,,,,
2393,11,23,7,1841,1845,2008,2016,NW,884,N371NB,87,91,68,-8,-4,MSP,MDW,349,7,12,0,,0,,,,,
2394,3,19,3,952,949,1110,1059,UA,115,N646UA,138,130,99,11,3,IAD,ORD,589,22,17,0,,0,,,,,
2395,8,12,2,1214,1215,1341,1333,EV,5012,N979EV,87,78,55,8,-1,ATL,DAB,366,3,29,0,,0,,,,,
2396,9,2,2,1226,1225,1437,1445,AA,2348,N407AA,131,140,111,-8,1,DFW,ORD,802,7,13,0,,0,,,,,
2397,2,5,2,937,940,1029,1045,OO,3736,N568SW,52,65,41,-16,-3,TWF,SLC,175,7,4,0,,0,,,,,
2398,3,7,5,2057,2045,2153,2140,WN,64,N514SW,56,55,45,13,12,HRL,HOU,276,6,5,0,,0,,,,,
2399,6,18,3,640,648,750,800,MQ,3284,N304AE,70,72,45,-10,-8,TXK,DFW,181,14,11,0,,0,,,,,
2400,11,11,2,1743,1625,2010,1854,YV,7042,N75996,87,89,69,76,78,ORD,BUF,473,6,12,0,,0,76,0,0,0,0
2401,6,10,2,1851,1853,1945,1940,YV,1042,N77278,54,47,37,5,-2,ITO,HNL,216,5,12,0,,0,,,,,
2402,8,29,5,1750,1750,1952,2005,OH,5138,N591SW,122,135,99,-13,0,CHS,LGA,641,12,11,0,,0,,,,,
2403,10,8,3,1456,1455,1559,1610,WN,365,N701GS,63,75,53,-11,1,LAX,SFO,337,4,6,0,,0,,,,,
2404,8,13,3,602,605,723,720,WN,383,N273WN,81,75,58,3,-3,SMF,ONT,389,4,19,0,,0,,,,,
2405,8,14,4,1444,1445,1623,1636,US,1199,N426US,99,111,78,-13,-1,EWR,CLT,529,9,12,0,,0,,,,,
2406,10,27,1,1343,1345,1439,1445,WN,472,N401WN,56,60,34,-6,-2,LAS,ONT,197,4,18,0,,0,,,,,
2407,11,13,4,614,618,716,728,9E,2565,86749E,62,70,35,-12,-4,DAY,DTW,166,18,9,0,,0,,,,,
2408,1,9,3,914,920,1233,1225,MQ,4412,N823AE,139,125,110,8,-6,ORD,HPN,738,3,26,0,,0,,,,,
2409,3,17,1,1613,1615,1840,1840,AA,526,N3CCAA,147,145,126,0,-2,MIA,DCA,920,4,17,0,,0,,,,,
2410,11,14,5,1125,1129,1419,1413,B6,593,N281JB,174,164,149,6,-4,HPN,MCO,972,6,19,0,,0,,,,,
2411,2,21,4,5,10,729,736,NW,336,N523US,264,266,226,-7,-5,LAX,DTW,1979,11,27,0,,0,,,,,
2412,6,14,6,1801,1740,2041,1946,DL,869,N629DL,160,126,82,55,21,ATL,FLL,581,6,72,0,,0,15,0,34,0,6
2413,5,30,5,750,755,904,915,WN,3514,N521SW,74,80,61,-11,-5,LAX,TUS,451,3,10,0,,0,,,,,
2414,8,27,3,914,924,1031,1033,OO,5702,N292SW,77,69,60,-2,-10,SBA,SJC,234,5,12,0,,0,,,,,
2415,3,21,5,1034,1000,1305,1245,WN,390,N449WN,91,105,82,20,34,LAX,SLC,590,3,6,0,,0,0,0,0,0,20
2416,4,1,2,1140,1115,1443,1415,WN,946,N205WN,243,240,223,28,25,PHL,SAT,1495,3,17,0,,0,0,0,3,0,25
2417,6,1,7,2053,2055,2151,2157,OO,6364,N983SW,58,62,41,-6,-2,DEN,CPR,230,7,10,0,,0,,,,,
2418,9,8,1,1834,1835,2024,2045,CO,1889,N36280,230,250,215,-21,-1,IAH,SMF,1609,4,11,0,,0,,,,,
2419,10,7,2,1828,1835,1907,1935,WN,494,N902WN,99,120,86,-28,-7,DEN,LAS,629,4,9,0,,0,,,,,
2420,8,31,7,1008,1015,1120,1131,B6,103,N607JB,72,76,56,-11,-7,BUF,JFK,301,3,13,0,,0,,,,,
2421,4,17,4,1300,1246,1621,1605,UA,336,N571UA,141,139,118,16,14,LAX,DEN,862,4,19,0,,0,0,0,3,0,13
2422,5,9,5,631,630,715,720,WN,2095,N672SW,44,50,33,-5,1,DAL,AUS,189,3,8,0,,0,,,,,
2423,5,8,4,1450,1455,1548,1555,OO,3789,N438SW,118,120,100,-7,-5,SLC,SJC,585,4,14,0,,0,,,,,
2424,7,25,5,1059,1030,1422,1402,XE,2305,N15983,143,152,128,20,29,IAH,DAY,929,6,9,0,,0,8,0,0,0,12
2425,12,13,6,1748,1730,1836,1821,HA,360,N480HA,48,51,35,15,18,HNL,ITO,216,6,7,0,,0,0,0,0,0,15
2426,8,7,4,727,729,1032,1034,CO,350,N16642,245,245,208,-2,-2,EWR,AUS,1504,5,32,0,,0,,,,,
2427,3,23,7,840,840,936,940,WN,15,N645SW,56,60,47,-4,0,LBB,DAL,293,2,7,0,,0,,,,,
2428,6,23,1,2050,2040,2254,2256,UA,725,N829UA,124,136,106,-2,10,ORD,DFW,802,6,12,0,,0,,,,,
2429,11,27,4,1456,1451,1827,1824,F9,836,N935FR,151,153,127,3,5,SEA,DEN,1024,7,17,0,,0,,,,,
2430,11,17,1,1458,1500,1651,1647,CO,391,N69333,173,167,146,4,-2,MIA,IAH,964,8,19,0,,0,,,,,
2431,2,15,5,1455,1500,1611,1645,US,928,N511AU,76,105,61,-34,-5,CLT,DAB,416,3,12,0,,0,,,,,
2432,2,6,3,2005,2013,2259,2238,AS,491,N647AS,174,145,135,21,-8,SNA,PDX,859,27,12,0,,0,0,0,21,0,0
2433,11,22,6,1625,1631,2315,2357,US,76,N655AW,230,266,217,-42,-6,LAS,BWI,2106,3,10,0,,0,,,,,
2434,1,7,1,1023,1030,1319,1317,B6,434,N564JB,176,167,154,2,-7,MCO,BOS,1121,5,17,0,,0,,,,,
2435,3,24,1,855,900,1247,1244,NW,1632,N355NB,172,164,155,3,-5,IAH,DTW,1076,5,12,0,,0,,,,,
2436,12,6,6,1711,1705,1828,1840,WN,225,N678AA,77,95,64,-12,6,SAN,SFO,447,4,9,0,,0,,,,,
2437,3,17,1,1245,1250,1346,1350,MQ,4702,N705AE,61,60,45,-4,-5,DCA,RDU,227,4,12,0,,0,,,,,
2438,5,4,7,1158,1200,1434,1445,WN,970,N610WN,156,165,141,-11,-2,MCO,BDL,1050,4,11,0,,0,,,,,
2439,9,12,5,655,655,1057,1050,AA,769,N084AA,242,235,212,7,0,JFK,SJU,1597,7,23,0,,0,,,,,
2440,2,18,1,827,830,940,930,WN,1456,N663SW,73,60,48,10,-3,STL,MDW,251,5,20,0,,0,,,,,
2441,7,18,5,1950,1945,2322,2319,NW,680,N323US,152,154,119,3,5,MSP,PHL,980,22,11,0,,0,,,,,
2442,10,31,5,1323,1325,1540,1553,9E,5837,80279E,77,88,52,-13,-2,CWA,DTW,363,16,9,0,,0,,,,,
2443,8,12,2,1549,1530,1658,1635,AA,1128,N430AA,69,65,37,23,19,AUS,DFW,190,20,12,0,,0,12,0,4,0,7
2444,7,31,4,1021,1024,1155,1155,9E,5848,87719E,94,91,66,0,-3,DTW,ROA,382,5,23,0,,0,,,,,
2445,12,12,5,705,710,1029,1035,WN,1149,N916WN,144,145,123,-6,-5,MCI,BWI,967,3,18,0,,0,,,,,
2446,12,13,6,918,926,1011,1026,OO,5447,N224SW,53,60,36,-15,-8,SFO,FAT,158,4,13,0,,0,,,,,
2447,2,4,1,1713,1620,1844,1735,WN,1114,N227WN,91,75,58,69,53,ELP,PHX,347,5,28,0,,0,0,0,69,0,0
2448,6,6,5,2307,1915,225,2245,AA,782,N489AA,138,150,123,220,232,ORD,TPA,1012,4,11,0,,0,0,0,0,0,220
2449,8,12,2,715,720,1009,1010,AA,2297,N3ACAA,174,170,143,-1,-5,DTW,MIA,1145,19,12,0,,0,,,,,
2450,12,2,2,1336,1330,1620,1630,WN,2893,N777QC,224,240,212,-10,6,BHM,PHX,1455,5,7,0,,0,,,,,
2451,2,28,4,1239,1240,1406,1402,XE,2061,N19966,87,82,62,4,-1,BUF,EWR,282,6,19,0,,0,,,,,
2452,6,19,4,1150,1150,1336,1317,F9,229,N810FR,166,147,146,19,0,DEN,SMF,910,6,14,0,,0,0,0,19,0,0
2453,11,12,3,943,955,1158,1212,FL,878,N982AT,135,137,123,-14,-12,BWI,TPA,842,4,8,0,,0,,,,,
2454,5,16,5,1824,1825,26,35,WN,634,N423WN,242,250,229,-9,-1,SFO,MDW,1855,5,8,0,,0,,,,,
2455,5,26,1,1606,1605,1839,1828,CO,535,N27733,333,323,304,11,1,EWR,PHX,2133,8,21,0,,0,,,,,
2456,11,13,4,1213,1220,,1354,OO,5783,N585SW,,94,,,-7,SFO,CEC,304,,12,1,B,0,,,,,
2457,4,6,7,1052,1055,1248,1310,AA,2340,N400AA,116,135,102,-22,-3,DFW,ORD,802,4,10,0,,0,,,,,
2458,11,19,3,1012,1020,1137,1148,CO,1587,N24633,145,148,107,-11,-8,ATL,IAH,689,13,25,0,,0,,,,,
2459,8,2,6,1019,1020,1355,1400,MQ,3361,N503AE,156,160,134,-5,-1,DFW,PIT,1068,7,15,0,,0,,,,,
2460,4,11,5,1625,1600,1821,1730,MQ,3712,N825AE,176,150,153,51,25,CVG,DFW,812,11,12,0,,0,0,0,26,0,25
2461,6,11,3,1056,1050,1221,1210,WN,2707,N672SW,85,80,65,11,6,MCI,MDW,405,5,15,0,,0,,,,,
2462,8,7,4,1827,1820,1933,1935,WN,174,N414WN,66,75,48,-2,7,FLL,JAX,318,7,11,0,,0,,,,,
2463,8,14,4,2311,2235,633,615,CO,434,N78285,262,280,243,18,36,PHX,EWR,2133,8,11,0,,0,0,0,0,0,18
2464,7,5,6,1418,1255,1607,1443,DL,815,N944DL,109,108,80,84,83,DCA,ATL,547,10,19,0,,0,0,0,84,0,0
2465,10,28,2,1702,1640,1820,1804,UA,416,N428UA,78,84,59,16,22,SLC,DEN,391,5,14,0,,0,0,0,0,0,16
2466,11,18,2,1813,1815,1938,1948,US,804,N944UW,85,93,50,-10,-2,PHL,BOS,280,6,29,0,,0,,,,,
2467,10,23,4,1756,1810,2116,2132,XE,2933,N15980,140,142,120,-16,-14,MSN,EWR,799,10,10,0,,0,,,,,
2468,8,7,4,941,800,1449,1305,AA,2422,N3BAAA,188,185,164,104,101,LAX,DFW,1235,11,13,0,,0,82,0,3,0,19
2469,11,18,2,2154,2136,22,17,UA,1244,N550UA,88,101,73,5,18,ORD,IAD,589,5,10,0,,0,,,,,
2470,12,1,1,624,615,916,905,WN,3830,N687SW,112,110,96,11,9,BNA,TPA,612,5,11,0,,0,,,,,
2471,10,26,7,1852,1856,1858,1904,EV,5056,N752EV,66,68,39,-6,-4,ATL,VPS,264,7,20,0,,0,,,,,
2472,4,12,6,1022,1012,1213,1144,NW,1776,N787NC,111,92,69,29,10,DTW,PHL,453,10,32,0,,0,3,0,19,0,7
2473,1,2,3,1940,1945,2131,2135,OO,3897,N457SW,111,110,86,-4,-5,SLC,TUS,601,5,20,0,,0,,,,,
2474,3,16,7,1542,1535,1830,1835,DL,468,N942DL,108,120,84,-5,7,MCI,ATL,692,13,11,0,,0,,,,,
2475,4,3,4,1608,1605,1820,1810,WN,2805,N474WN,252,245,235,10,3,MCO,DEN,1545,5,12,0,,0,,,,,
2476,6,8,7,1317,1320,1513,1525,AA,297,N5FBAA,296,305,276,-12,-3,MCO,LAX,2217,9,11,0,,0,,,,,
2477,10,18,6,1425,1423,1702,1708,XE,2120,N15985,157,165,134,-6,2,MKE,IAH,984,10,13,0,,0,,,,,
2478,2,7,4,640,650,735,740,MQ,3034,N240DS,55,50,32,-5,-10,SBA,LAX,89,11,12,0,,0,,,,,
2479,8,3,7,1752,1750,1953,1955,WN,467,N301SW,121,125,105,-2,2,CMH,MCO,802,7,9,0,,0,,,,,
2480,1,7,1,1928,1930,2045,2058,XE,1281,N14942,77,88,42,-13,-2,EWR,IAD,213,7,28,0,,0,,,,,
2481,10,16,4,1946,1941,2115,2110,US,1100,N940UW,89,89,73,5,5,CLT,BUF,546,4,12,0,,0,,,,,
2482,3,29,6,32,1605,215,1745,AS,379,N553AS,103,100,80,510,507,SJC,PDX,569,7,16,0,,0,507,0,3,0,0
2483,10,22,3,1545,1435,2116,2020,AA,1056,N3CKAA,211,225,190,56,70,SEA,DFW,1660,7,14,0,,0,10,0,0,0,46
2484,3,3,1,1954,1955,4,5,WN,1747,N747SA,190,190,174,-1,-1,PHX,BNA,1448,5,11,0,,0,,,,,
2485,7,7,1,1343,1340,1445,1445,WN,818,N223WN,62,65,51,0,3,SNA,LAS,226,3,8,0,,0,,,,,
2486,2,27,3,858,905,949,1005,MQ,4669,N738NR,51,60,38,-16,-7,RDU,DCA,227,3,10,0,,0,,,,,
2487,1,27,7,1443,1445,1653,1650,WN,760,N626SW,130,125,117,3,-2,MCO,BWI,787,3,10,0,,0,,,,,
2488,6,22,7,2033,1750,2136,1855,WN,1399,N621SW,63,65,49,161,163,BWI,BUF,281,4,10,0,,0,0,0,0,0,161
2489,10,23,4,1842,1835,2043,2030,MQ,3514,N510MQ,181,175,163,13,7,PIT,DFW,1068,11,7,0,,0,,,,,
2490,11,18,2,724,725,1013,1025,WN,1608,N717SA,169,180,158,-12,-1,ISP,TPA,1034,4,7,0,,0,,,,,
2491,8,5,2,714,720,933,955,WN,609,N646SW,139,155,118,-22,-6,LAS,SEA,866,7,14,0,,0,,,,,
2492,5,22,4,1736,1635,2008,1905,AA,1299,N073AA,152,150,127,63,61,MIA,SJU,1045,6,19,0,,0,61,0,2,0,0
2493,3,20,4,1658,1700,1759,1805,F9,577,N944FR,121,125,99,-6,-2,DFW,DEN,641,4,18,0,,0,,,,,
2494,3,30,7,1615,1625,1757,1826,OH,5639,N642CA,102,121,70,-29,-10,JFK,PIT,340,2,30,0,,0,,,,,
2495,2,27,3,1435,1437,1512,1514,HA,320,N485HA,37,37,22,-2,-2,HNL,OGG,100,5,10,0,,0,,,,,
2496,12,18,4,2005,1856,2131,2019,FL,114,N964AT,146,143,124,72,69,ATL,DFW,732,6,16,0,,0,69,0,3,0,0
2497,6,25,3,1943,1855,2118,2035,MQ,4179,N693AE,155,160,128,43,48,PVD,ORD,849,8,19,0,,0,0,0,27,0,16
2498,1,9,3,1207,1213,1309,1319,DL,1454,N996DL,62,66,43,-10,-6,ATL,CHS,259,5,14,0,,0,,,,,
2499,11,18,2,749,735,940,923,OH,6434,N781CA,111,108,81,17,14,CVG,PHL,507,5,25,0,,0,14,0,3,0,0
2500,6,5,4,849,852,959,936,UA,237,N562UA,130,104,109,23,-3,DSM,DEN,589,7,14,0,,0,0,0,23,0,0
2501,8,15,5,856,857,957,1001,OO,5785,N229SW,61,64,48,-4,-1,MFR,PDX,222,4,9,0,,0,,,,,
2502,11,7,5,821,825,1500,1505,DL,244,N727TW,279,280,244,-5,-4,SLC,JFK,1989,13,22,0,,0,,,,,
2503,12,7,7,1128,1125,1403,1305,NW,1483,N348NW,215,160,141,58,3,MSP,ABQ,981,4,70,0,,0,0,0,58,0,0
2504,1,28,1,2115,2110,2252,2251,FL,182,N989AT,97,101,76,1,5,ATL,DCA,547,6,15,0,,0,,,,,
2505,2,11,1,844,815,1016,944,YV,7201,N47202,92,89,63,32,29,IAD,GSP,383,4,25,0,,0,32,0,0,0,0
2506,9,19,5,1049,1040,1141,1140,AA,1975,N461AA,112,120,95,1,9,RDU,ORD,647,6,11,0,,0,,,,,
2507,9,29,1,742,745,910,915,AA,1323,N577AA,148,150,125,-5,-3,JFK,ORD,740,4,19,0,,0,,,,,
2508,11,9,7,610,615,915,915,CO,1735,N18622,125,120,93,0,-5,ELP,IAH,667,20,12,0,,0,,,,,
2509,6,17,2,1443,1450,1559,1613,XE,2610,N28518,136,143,120,-14,-7,GSP,IAH,838,6,10,0,,0,,,,,
2510,2,10,7,942,952,1032,1046,OO,5440,N216SW,50,54,30,-14,-10,LAX,SMX,135,5,15,0,,0,,,,,
2511,8,16,6,1613,1615,1732,1720,9E,5931,85779E,79,65,35,12,-2,JAN,MEM,189,13,31,0,,0,,,,,
2512,1,2,3,1702,1655,1701,1700,WN,977,N378SW,59,65,47,1,7,SDF,STL,254,4,8,0,,0,,,,,
2513,1,31,4,1528,1500,1647,1615,MQ,4465,N664MS,79,75,53,32,28,ORD,DSM,299,3,23,0,,0,0,28,4,0,0
2514,9,13,6,2003,2005,2140,2141,US,1865,N192UW,157,156,134,-1,-2,CLT,DFW,936,12,11,0,,0,,,,,
2515,2,7,4,2003,1955,2303,2310,WN,1109,N448WN,120,135,106,-7,8,STL,MCO,880,7,7,0,,0,,,,,
2516,6,20,5,1544,1545,1653,1655,WN,2647,N718SW,69,70,56,-2,-1,BWI,PVD,328,5,8,0,,0,,,,,
2517,12,3,3,1405,1411,1627,1635,CO,1461,N79402,142,144,120,-8,-6,CLE,MCO,895,11,11,0,,0,,,,,
2518,7,19,6,1834,1805,1956,1905,MQ,4156,N625AE,142,120,104,51,29,SYR,ORD,607,3,35,0,,0,0,0,43,0,8
2519,10,11,6,1348,1358,1447,1459,EV,5603,N889AS,59,61,40,-12,-10,AVL,ATL,164,5,14,0,,0,,,,,
2520,1,9,3,1625,1555,1807,1746,OH,5283,N954CA,102,111,68,21,30,BTV,JFK,267,15,19,0,,0,21,0,0,0,0
2521,5,4,7,858,904,1354,1407,YV,2816,N17337,176,183,135,-13,-6,PHX,DSM,1149,9,32,0,,0,,,,,
2522,8,11,1,1557,1606,1631,1636,UA,559,N838UA,94,90,56,-5,-9,CLE,ORD,316,18,20,0,,0,,,,,
2523,6,16,1,759,805,909,908,XE,2710,N13979,70,63,46,1,-6,BTR,IAH,253,8,16,0,,0,,,,,
2524,6,18,3,1453,1440,1814,1810,F9,162,N914FR,141,150,120,4,13,SJC,DEN,948,9,12,0,,0,,,,,
2525,6,20,5,1301,1255,1448,1443,DL,815,N966DL,107,108,84,5,6,DCA,ATL,547,9,14,0,,0,,,,,
2526,5,17,6,1523,1525,1803,1820,AA,1530,N3BBAA,160,175,142,-17,-2,MIA,LGA,1097,4,14,0,,0,,,,,
2527,4,8,2,1035,1030,1141,1135,XE,2709,N29515,66,65,47,6,5,DAL,IAH,217,11,8,0,,0,,,,,
2528,8,8,5,839,840,920,911,UA,1231,N383UA,101,91,81,9,-1,OKC,DEN,495,7,13,0,,0,,,,,
2529,9,7,7,954,955,1129,1102,US,160,N158AW,95,67,47,27,-1,PHX,LAS,256,13,35,0,,0,0,0,27,0,0
2530,8,19,2,1441,1445,1703,1720,WN,523,N521SW,142,155,127,-17,-4,FLL,BWI,925,2,13,0,,0,,,,,
2531,8,6,3,808,805,1015,1015,WN,2194,N501SW,187,190,168,0,3,STL,SLC,1156,11,8,0,,0,,,,,
2532,8,23,6,751,750,851,900,WN,2685,N207WN,60,70,49,-9,1,SJC,ONT,333,3,8,0,,0,,,,,
2533,2,25,1,1034,1034,1507,1501,NW,574,N362NB,213,207,189,6,0,MSP,MIA,1501,8,16,0,,0,,,,,
2534,10,3,5,1000,1000,1213,1226,NW,727,N675MC,73,86,48,-13,0,ORD,DTW,235,7,18,0,,0,,,,,
2535,11,17,1,1334,1335,1411,1412,OO,2620,N506CA,37,37,20,-1,-1,MKE,MSN,74,5,12,0,,0,,,,,
2536,2,19,2,2058,2100,2155,2205,MQ,3559,N518AE,57,65,43,-10,-2,DFW,XNA,281,3,11,0,,0,,,,,
2537,6,10,2,1246,1240,1332,1330,WN,786,N285WN,106,110,88,2,6,DEN,PHX,602,7,11,0,,0,,,,,
2538,10,26,7,1239,1245,1410,1420,EV,5586,N877AS,91,95,70,-10,-6,ATL,ORF,516,3,18,0,,0,,,,,
2539,12,8,1,2030,2035,2146,2202,AS,253,N795AS,76,87,57,-16,-5,LAX,SFO,337,7,12,0,,0,,,,,
2540,7,10,4,2209,2215,14,23,US,1786,N419US,125,128,101,-9,-6,CLT,MHT,737,6,18,0,,0,,,,,
2541,4,24,4,1821,1810,2013,1927,9E,5633,85159E,112,77,92,46,11,MLI,MSP,274,10,10,0,,0,0,11,35,0,0
2542,5,13,2,843,845,912,920,XE,2465,N14998,89,95,70,-8,-2,CLE,BNA,448,7,12,0,,0,,,,,
2543,2,8,5,1234,1215,1515,1505,AA,1620,N409AA,161,170,139,10,19,PBI,LGA,1035,6,16,0,,0,,,,,
2544,4,4,5,727,730,939,844,US,2197,N742PS,132,74,97,55,-3,BOS,LGA,185,5,30,0,,0,0,0,55,0,0
2545,1,13,7,1830,1815,2018,2010,WN,1469,N725SW,168,175,152,8,15,TPA,MCI,1048,5,11,0,,0,,,,,
2546,6,15,7,1907,1745,2023,1910,MQ,3399,N935AE,76,85,58,73,82,DFW,BTR,383,6,12,0,,0,70,0,0,0,3
2547,7,11,5,602,605,607,610,WN,1920,N727SW,65,65,47,-3,-3,CMH,MDW,284,11,7,0,,0,,,,,
2548,7,30,3,1842,1834,2008,2011,NW,237,N315NB,86,97,68,-3,8,DCA,DTW,405,8,10,0,,0,,,,,
2549,6,3,2,1155,1150,1437,1450,AA,806,N274AA,102,120,84,-13,5,DEN,DFW,641,6,12,0,,0,,,,,
2550,8,19,2,1310,1314,1538,1546,OO,6540,N745SK,88,92,75,-8,-4,DEN,TUL,541,3,10,0,,0,,,,,
2551,5,21,3,1020,1025,1058,1102,HA,139,N481HA,38,37,23,-4,-5,HNL,LIH,102,5,10,0,,0,,,,,
2552,3,16,7,1119,1120,1329,1317,DL,886,N139DL,130,117,89,12,-1,FLL,ATL,581,10,31,0,,0,,,,,
2553,8,7,4,1859,1710,2110,1925,FL,340,N924AT,131,135,97,105,109,ATL,PHL,665,4,30,0,,0,0,0,0,0,105
2554,11,10,1,1903,1835,2031,2021,CO,1199,N16647,88,106,48,10,28,BOS,EWR,200,11,29,0,,0,,,,,
2555,1,28,1,1654,1655,1845,1850,AA,2477,N5DFAA,111,115,95,-5,-1,STL,DFW,551,3,13,0,,0,,,,,
2556,5,19,1,1542,1545,1658,1709,US,1238,N953UW,76,84,66,-11,-3,RDU,PHL,336,2,8,0,,0,,,,,
2557,12,22,1,1124,1120,1626,1640,WN,1479,N263WN,182,200,168,-14,4,LAS,MSY,1501,3,11,0,,0,,,,,
2558,5,26,1,636,640,811,813,DL,1213,N3753,95,93,74,-2,-4,DCA,CVG,411,4,17,0,,0,,,,,
2559,10,1,3,635,643,822,832,OO,6600,N960SW,107,109,84,-10,-8,GTF,DEN,624,6,17,0,,0,,,,,
2560,3,7,5,1414,1230,1704,1517,CO,1493,N78866,170,167,147,107,104,MCO,EWR,938,13,10,0,,0,0,0,3,0,104
2561,12,9,2,914,915,1059,1101,NW,189,N344NW,225,226,181,-2,-1,MSP,SAN,1532,1,43,0,,0,,,,,
2562,11,9,7,555,600,610,613,YV,7087,N27185,75,73,40,-3,-5,TVC,ORD,224,12,23,0,,0,,,,,
2563,4,18,5,2002,1845,2143,2015,AA,1305,N490AA,101,90,78,88,77,DFW,MCI,460,4,19,0,,0,77,0,11,0,0
2564,3,12,3,628,630,807,823,9E,5725,89429E,99,113,81,-16,-2,MSN,MEM,559,5,13,0,,0,,,,,
2565,6,22,7,1919,1920,2007,2015,WN,45,N212WN,48,55,38,-8,-1,HOU,HRL,276,2,8,0,,0,,,,,
2566,7,15,2,1258,1302,1345,1359,YV,7299,N77195,47,57,30,-14,-4,ORD,GRB,174,5,12,0,,0,,,,,
2567,1,15,2,1008,1015,1103,1110,AA,1352,N535AA,55,55,36,-7,-7,DFW,OKC,175,9,10,0,,0,,,,,
2568,9,11,4,1954,1954,2115,2122,YV,2781,N942LR,81,88,60,-7,0,PHX,BFL,425,6,15,0,,0,,,,,
2569,10,24,5,840,845,1035,1026,US,945,N711UW,115,101,101,9,-5,DTW,CLT,500,4,10,0,,0,,,,,
2570,4,5,6,1302,1305,1504,1515,WN,1630,N309SW,62,70,49,-11,-3,MDW,CLE,307,6,7,0,,0,,,,,
2571,2,12,2,913,920,1246,1139,CO,1620,N16646,213,139,167,67,-7,OMA,IAH,781,13,33,0,,0,0,0,67,0,0
2572,6,12,4,1732,1730,2112,2125,AA,1046,N5CWAA,160,175,141,-13,2,DFW,MIA,1121,4,15,0,,0,,,,,
2573,10,5,7,1337,1335,1532,1535,WN,560,N928WN,115,120,102,-3,2,PHX,OAK,646,4,9,0,,0,,,,,
2574,2,23,6,1324,1332,2059,2050,AA,162,N381AA,335,318,274,9,-8,HNL,LAX,2556,38,23,0,,0,,,,,
2575,10,10,5,1557,1558,1708,1713,OO,5777,N569SW,71,75,51,-5,-1,LAX,YUM,237,4,16,0,,0,,,,,
2576,6,5,4,757,800,958,1007,FL,420,N273AT,121,127,110,-9,-3,IND,TPA,838,4,7,0,,0,,,,,
2577,9,30,2,2044,2045,2149,2155,WN,524,N487WN,65,70,55,-6,-1,SMF,BUR,358,3,7,0,,0,,,,,
2578,7,19,6,1303,1305,1546,1556,UA,614,N814UA,103,111,80,-10,-2,ORD,DCA,612,4,19,0,,0,,,,,
2579,7,23,3,1506,1450,1812,1755,9E,2064,91669E,126,125,98,17,16,IAH,ATL,689,7,21,0,,0,0,0,1,0,16
2580,1,5,6,557,600,1050,1055,AA,2068,N298AA,173,175,147,-5,-3,ONT,DFW,1189,13,13,0,,0,,,,,
2581,6,2,1,1849,1850,2033,2051,DL,1495,N951DL,104,121,83,-18,-1,DTW,ATL,594,7,14,0,,0,,,,,
2582,7,1,2,2035,2040,2142,2156,EV,4682,N972EV,127,136,108,-14,-5,ATL,ATW,765,4,15,0,,0,,,,,
2583,10,31,5,855,900,952,1005,WN,446,N235WN,57,65,44,-13,-5,LAS,SNA,226,5,8,0,,0,,,,,
2584,9,6,6,847,855,1113,1144,DL,907,N682DA,146,169,107,-31,-8,LGA,ATL,761,19,20,0,,0,,,,,
2585,11,11,2,1220,1230,1503,1457,CO,259,N23707,223,207,193,6,-10,DCA,IAH,1208,11,19,0,,0,,,,,
2586,3,2,7,1011,1020,1508,1510,AA,883,N5CCAA,237,230,202,-2,-9,BOS,STT,1693,6,29,0,,0,,,,,
2587,1,2,3,2316,2240,14,2340,AA,1117,N485AA,58,60,40,,36,DFW,SAT,247,5,13,0,,0,34,0,0,0,0
2588,1,14,1,800,628,1049,930,YV,7236,N515MJ,109,122,93,79,92,ORD,SAV,773,2,14,0,,0,79,0,0,0,0
2589,9,6,6,,825,,1000,MQ,4591,,,95,,,,BOS,DCA,399,,,1,B,0,,,,,
2590,12,12,5,855,906,1200,1224,F9,566,N931FR,125,138,108,-24,-11,SAN,DEN,853,5,12,0,,0,,,,,
2591,3,21,5,,1310,,1621,UA,1214,,,131,,,,ORD,MHT,843,,,1,B,0,,,,,
2592,11,24,1,1708,1705,1935,1930,AA,391,N483AA,147,145,129,5,3,DFW,MSP,852,7,11,0,,0,,,,,
2593,6,17,2,742,715,859,835,DL,877,N624DL,77,80,58,24,27,ATL,TPA,406,3,16,0,,0,0,0,0,0,24
2594,5,31,6,1006,1010,1101,1100,MQ,3113,N848AE,55,50,33,1,-4,LAX,SAN,109,5,17,0,,0,,,,,
